id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1100183655790465024,CarolJago,RT @nmglassen: History of the Green Book: Ways to Explore the Schomburg Center's Collection of Victor Hugo Green's Green Books | The New York Public Library https://t.co/prLg2QWCQa,Mon Feb 25 23:59:58 +0000 2019,25/02/2019 23:59:58,,en,,,28298700,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/607170923830079489/LhMZlWQv_normal.jpg,23028,938,"Chicago, IL",http://twitter.com/CarolJago/statuses/1100183655790465024,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""nmglassen"",""name"":""Nina Glassen"",""id"":32787823,""id_str"":""32787823"",""indices"":[3,13]}],""urls"":[]}"
1100183644088516610,daniellerha,"RT @randyNYT: If you're getting a lot of ""Green Book"" hate in your feed, this might help you understand: https://t.co/zqvqyEAhM4",Mon Feb 25 23:59:55 +0000 2019,25/02/2019 23:59:55,,en,,,161308052,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/760935166814613504/VAH9qZbg_normal.jpg,1334,895,New York,http://twitter.com/daniellerha/statuses/1100183644088516610,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""randyNYT"",""name"":""Randy Archibold"",""id"":14849284,""id_str"":""14849284"",""indices"":[3,12]}],""urls"":[{""url"":""https://t.co/zqvqyEAhM4"",""expanded_url"":""https://www.nytimes.com/2019/01/23/arts/green-book-interracial-friendship.html"",""display_url"":""nytimes.com/2019/01/23/art…"",""indices"":[105,128]}]}"
1100183634143784960,Britpoptarts,"RT @cepmurphy: @Mikelennial In a few months, there will be people over 60 watching Green Book on Netflix and saying ""they're taking their time getting to the punk club""",Mon Feb 25 23:59:53 +0000 2019,25/02/2019 23:59:53,,en,,,820187383,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/913835336190500864/6Im41aaD_normal.jpg,6304,6915,House of Eclecstacy!,http://twitter.com/Britpoptarts/statuses/1100183634143784960,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""cepmurphy"",""name"":""Charles EP Murphy"",""id"":791049553101348900,""id_str"":""791049553101348865"",""indices"":[3,13]},{""screen_name"":""Mikelennial"",""name"":""SmashMike"",""id"":840806000,""id_str"":""840806000"",""indices"":[15,27]}],""urls"":[]}"
1100183630230548481,YungGunn2Raw,"RT @mxr_ly_: Interviewer: is there something about Green Book that offends you?

Spike Lee: https://t.co/fXy2TLM7yc",Mon Feb 25 23:59:52 +0000 2019,25/02/2019 23:59:52,,en,,,37826910,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1069270065357512704/FE6F2FTh_normal.jpg,6768,6257,"Miami,Fl",http://twitter.com/YungGunn2Raw/statuses/1100183630230548481,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""mxr_ly_"",""name"":""two yards ahead in the brain"",""id"":231835300,""id_str"":""231835300"",""indices"":[3,11]}],""urls"":[],""media"":[{""id"":1099997888862654500,""id_str"":""1099997888862654469"",""indices"":[92,115],""media_url"":""http://pbs.twimg.com/ext_tw_video_thumb/1099997888862654469/pu/img/BisNmUukn0MsdNIq.jpg"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1099997888862654469/pu/img/BisNmUukn0MsdNIq.jpg"",""url"":""https://t.co/fXy2TLM7yc"",""display_url"":""pic.twitter.com/fXy2TLM7yc"",""expanded_url"":""https://twitter.com/mxr_ly_/status/1099997938204508161/video/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":1200,""h"":675,""resize"":""fit""},""small"":{""w"":680,""h"":383,""resize"":""fit""},""large"":{""w"":1280,""h"":720,""resize"":""fit""}},""source_status_id"":1099997938204508200,""source_status_id_str"":""1099997938204508161"",""source_user_id"":231835300,""source_user_id_str"":""231835300""}]}"
1100183605345697792,african_delight,"RT @andyjamesdalton: Spike Lee was visibly angry when ""Green Book"" was announced as the winner of best picture at the Oscars, waving his arms in disgust and appearing to try to storm out of the Dolby Theatre before he was stopped at the doors. He returned to his seat when the speeches were over.",Mon Feb 25 23:59:46 +0000 2019,25/02/2019 23:59:46,,en,,,291574420,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1090080863633764353/XWf2IeL9_normal.jpg,1114,231,ny to dmv. ,http://twitter.com/african_delight/statuses/1100183605345697792,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""andyjamesdalton"",""name"":""Andrew Dalton"",""id"":131690690,""id_str"":""131690690"",""indices"":[3,19]}],""urls"":[]}"
1100183600757121024,stylesntony,"RT @tlmota: o olhar do chadwick boseman pro michael b. jordan qnd green book ganhou o oscar de melhor filme é a perfeita reação pra essa vitória
https://t.co/CePN8UiMwf",Mon Feb 25 23:59:45 +0000 2019,25/02/2019 23:59:45,,pt,,,725750824887029760,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1096925918038315008/K4Y7oWr8_normal.jpg,1237,81,,http://twitter.com/stylesntony/statuses/1100183600757121024,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""tlmota"",""name"":""Thiago Mota"",""id"":18170921,""id_str"":""18170921"",""indices"":[3,10]}],""urls"":[]}"
1100183599805014017,KaylaColgan,"@RobertJohnDavi I agree, Robert Davi. The Oscars are not worth watching. I loved “Green Book.”",Mon Feb 25 23:59:45 +0000 2019,25/02/2019 23:59:45,,en,80082384,RobertJohnDavi,706284645676146689,1100182365890998272,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1100138735373635584/dNqgdGRv_normal.jpg,3715,4996,Long Island ,http://twitter.com/KaylaColgan/statuses/1100183599805014017,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""RobertJohnDavi"",""name"":""Robert Davi"",""id"":80082384,""id_str"":""80082384"",""indices"":[0,15]}],""urls"":[]}"
1100183594851594243,flightbomb,"RT @ava: For anyone who may be interested in what the Green Book actually was, here is a link to more information about this act of resistance and source of love and survival for many African-Americans. It started with Victor Hugo Green. #OSCARS https://t.co/gdFp1mekub https://t.co/9WkeInv2fd",Mon Feb 25 23:59:44 +0000 2019,25/02/2019 23:59:44,,en,,,23859023,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1553955753/e614c7db71a2a16230_normal.jpg,2758,1227,"41,000 ft",http://twitter.com/flightbomb/statuses/1100183594851594243,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""ava"",""name"":""Ava DuVernay"",""id"":14982804,""id_str"":""14982804"",""indices"":[3,7]}],""urls"":[]}"
1100183592347598849,Juliacsk,"RT @TheDailyShow: .@roywoodjr reviews Best Picture winner, ""Green Book."" Check out his thoughts on all the #Oscars2019 Best Picture nominees: https://t.co/CjxZT1W3jN https://t.co/ToJQkebPVS",Mon Feb 25 23:59:43 +0000 2019,25/02/2019 23:59:43,,en,,,28131515,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/567429356645928960/8h4UCFUq_normal.jpeg,1165,2749,Los Angeles,http://twitter.com/Juliacsk/statuses/1100183592347598849,"{""hashtags"":[{""text"":""Oscars2019"",""indices"":[107,118]}],""symbols"":[],""user_mentions"":[{""screen_name"":""TheDailyShow"",""name"":""The Daily Show"",""id"":158414847,""id_str"":""158414847"",""indices"":[3,16]},{""screen_name"":""roywoodjr"",""name"":""Roy Wood Jr- Ex Jedi"",""id"":41761325,""id_str"":""41761325"",""indices"":[19,29]}],""urls"":[]}"
1100183591428907008,sandman420,"RT @mxr_ly_: Interviewer: is there something about Green Book that offends you?

Spike Lee: https://t.co/fXy2TLM7yc",Mon Feb 25 23:59:43 +0000 2019,25/02/2019 23:59:43,,en,,,22567457,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1036683211621847040/UH2eHdq7_normal.jpg,1705,3004,"San Jose, CA",http://twitter.com/sandman420/statuses/1100183591428907008,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""mxr_ly_"",""name"":""two yards ahead in the brain"",""id"":231835300,""id_str"":""231835300"",""indices"":[3,11]}],""urls"":[],""media"":[{""id"":1099997888862654500,""id_str"":""1099997888862654469"",""indices"":[92,115],""media_url"":""http://pbs.twimg.com/ext_tw_video_thumb/1099997888862654469/pu/img/BisNmUukn0MsdNIq.jpg"",""media_url_https"":""https://pbs.twimg.com/ext_tw_video_thumb/1099997888862654469/pu/img/BisNmUukn0MsdNIq.jpg"",""url"":""https://t.co/fXy2TLM7yc"",""display_url"":""pic.twitter.com/fXy2TLM7yc"",""expanded_url"":""https://twitter.com/mxr_ly_/status/1099997938204508161/video/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":1200,""h"":675,""resize"":""fit""},""small"":{""w"":680,""h"":383,""resize"":""fit""},""large"":{""w"":1280,""h"":720,""resize"":""fit""}},""source_status_id"":1099997938204508200,""source_status_id_str"":""1099997938204508161"",""source_user_id"":231835300,""source_user_id_str"":""231835300""}]}"
