id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1099458293183979520,DORKpodcast,"#Oscars Power Rankings:
1. Green Book
2. Black Panther
3. BlacKkKlansman
4. A Star is Born
5. Bohemian Rhapsody 
6. Vice
7. The Favourite 
N/A Roma",Sat Feb 23 23:57:38 +0000 2019,23/02/2019 23:57:38,,en,,,4005055013,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1094002396089516039/nqPPmQw9_normal.jpg,1737,101,⬇️iTunes⬇️ Arkham Asylum,http://twitter.com/DORKpodcast/statuses/1099458293183979520,"{""hashtags"":[{""text"":""Oscars"",""indices"":[0,7]}],""symbols"":[],""user_mentions"":[],""urls"":[]}"
1099457794057490433,CQ_Social,"RT @BensOscarMath: 3/21: Adam McKay “won” Worst Picture for Holmes &amp; Watson and is also nominated for Best Picture at the Oscars for Vice. The last producer to do that was Simon Kinberg, for Fantastic Four and The Martian in 2015.",Sat Feb 23 23:55:39 +0000 2019,23/02/2019 23:55:39,,en,,,24628566,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1152452020/CQ_LOGOtwit_normal.jpg,2152,1726,Los Angeles 🇺🇸,http://twitter.com/CQ_Social/statuses/1099457794057490433,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BensOscarMath"",""name"":""Ben Zauzmer"",""id"":1120219494,""id_str"":""1120219494"",""indices"":[3,17]}],""urls"":[]}"
1099456484172333057,sandyc1772,RT @THR: 'Vice' writer/director and #Oscars nominee @GhostPanther recounts what it was like to see the cast transform into their real-life characters. https://t.co/R7KTvbr4vm,Sat Feb 23 23:50:27 +0000 2019,23/02/2019 23:50:27,,en,,,4901811831,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/732702453615984640/Wz20IPr3_normal.jpg,1055,212,,http://twitter.com/sandyc1772/statuses/1099456484172333057,"{""hashtags"":[{""text"":""Oscars"",""indices"":[36,43]}],""symbols"":[],""user_mentions"":[{""screen_name"":""THR"",""name"":""Hollywood Reporter"",""id"":17446621,""id_str"":""17446621"",""indices"":[3,7]},{""screen_name"":""GhostPanther"",""name"":""Adam McKay"",""id"":37982492,""id_str"":""37982492"",""indices"":[52,65]}],""urls"":[]}"
1099453063994187776,abaker20,"RT @BensOscarMath: 3/21: Adam McKay “won” Worst Picture for Holmes &amp; Watson and is also nominated for Best Picture at the Oscars for Vice. The last producer to do that was Simon Kinberg, for Fantastic Four and The Martian in 2015.",Sat Feb 23 23:36:51 +0000 2019,23/02/2019 23:36:51,,en,,,46832770,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1060964094705057798/GUL3Kd2s_normal.jpg,2353,5000,"Peoria, IL",http://twitter.com/abaker20/statuses/1099453063994187776,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BensOscarMath"",""name"":""Ben Zauzmer"",""id"":1120219494,""id_str"":""1120219494"",""indices"":[3,17]}],""urls"":[]}"
1099451068218597376,Real_Infinity95,"RT @NBCNews: Five of this year's Best Picture picks — “A Star Is Born,” “Green Book,” “The Favourite,” ""Vice” and “Bohemian Rhapsody” — include at least one LGBTQ character. https://t.co/2eSTGnprlh",Sat Feb 23 23:28:56 +0000 2019,23/02/2019 23:28:56,,en,,,718239356083904513,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1079386522003169280/Mmb4mYl4_normal.jpg,1990,2162,Unknown,http://twitter.com/Real_Infinity95/statuses/1099451068218597376,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""NBCNews"",""name"":""NBC News"",""id"":14173315,""id_str"":""14173315"",""indices"":[3,11]}],""urls"":[]}"
1099448456559636480,Moonbootica,"RT @OnePerfectShot: In the category of Best Film Editing, @ciara_wardlow knows that this is another place Vice will probably win in real life, but we’re giving the #Oscars statue of our hearts to THE FAVOURITE, as the queen commands: https://t.co/QRUzjmVY33 https://t.co/BMqquNVo8M",Sat Feb 23 23:18:33 +0000 2019,23/02/2019 23:18:33,,en,,,16984207,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/472443105405186048/ELgkuG3X_normal.jpeg,3813,5000,"Devizes, England",http://twitter.com/Moonbootica/statuses/1099448456559636480,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""OnePerfectShot"",""name"":""One Perfect Shot"",""id"":2172922045,""id_str"":""2172922045"",""indices"":[3,18]},{""screen_name"":""ciara_wardlow"",""name"":""Ciara Wardlow"",""id"":714799728186302500,""id_str"":""714799728186302465"",""indices"":[58,72]}],""urls"":[]}"
1099447814529048576,OnePerfectShot,"In the category of Best Film Editing, @ciara_wardlow knows that this is another place Vice will probably win in real life, but we’re giving the #Oscars statue of our hearts to THE FAVOURITE, as the queen commands: https://t.co/QRUzjmVY33 https://t.co/BMqquNVo8M",Sat Feb 23 23:16:00 +0000 2019,23/02/2019 23:16:00,,en,2172922045,OnePerfectShot,2172922045,1099377350184194049,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",http://pbs.twimg.com/profile_images/1057875437584445441/LUSyRlO7_normal.jpg,439961,3145,"Austin, TX",http://twitter.com/OnePerfectShot/statuses/1099447814529048576,"{""hashtags"":[{""text"":""Oscars"",""indices"":[144,151]}],""symbols"":[],""user_mentions"":[{""screen_name"":""ciara_wardlow"",""name"":""Ciara Wardlow"",""id"":714799728186302500,""id_str"":""714799728186302465"",""indices"":[38,52]}],""urls"":[{""url"":""https://t.co/QRUzjmVY33"",""expanded_url"":""https://filmschoolrejects.com/2019-oscar-predictions-the-technical-awards/"",""display_url"":""filmschoolrejects.com/2019-oscar-pre…"",""indices"":[214,237]}],""media"":[{""id"":1099383316229382100,""id_str"":""1099383316229382145"",""indices"":[238,261],""media_url"":""http://pbs.twimg.com/tweet_video_thumb/D0HLTSPX4AEzydu.jpg"",""media_url_https"":""https://pbs.twimg.com/tweet_video_thumb/D0HLTSPX4AEzydu.jpg"",""url"":""https://t.co/BMqquNVo8M"",""display_url"":""pic.twitter.com/BMqquNVo8M"",""expanded_url"":""https://twitter.com/OnePerfectShot/status/1099447814529048576/photo/1"",""type"":""photo"",""sizes"":{""medium"":{""w"":480,""h"":270,""resize"":""fit""},""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""small"":{""w"":480,""h"":270,""resize"":""fit""},""large"":{""w"":480,""h"":270,""resize"":""fit""}}}]}"
1099444433156825094,mariem201,"RT @BensOscarMath: 3/21: Adam McKay “won” Worst Picture for Holmes &amp; Watson and is also nominated for Best Picture at the Oscars for Vice. The last producer to do that was Simon Kinberg, for Fantastic Four and The Martian in 2015.",Sat Feb 23 23:02:34 +0000 2019,23/02/2019 23:02:34,,en,,,99801694,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/666234332609024000/0sdYMlP-_normal.jpg,2055,1905,,http://twitter.com/mariem201/statuses/1099444433156825094,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BensOscarMath"",""name"":""Ben Zauzmer"",""id"":1120219494,""id_str"":""1120219494"",""indices"":[3,17]}],""urls"":[]}"
1099444007145521152,GoldDerby,How many times have both Best Supporting Actor and Best Supporting Actress gone to the same film at the Oscars? https://t.co/uK0hQb5a6m https://t.co/78aSysoUP7,Sat Feb 23 23:00:52 +0000 2019,23/02/2019 23:00:52,,en,,,18748145,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",http://pbs.twimg.com/profile_images/722841333862309889/odZEY8yA_normal.jpg,31601,6112,"Los Angeles, CA",http://twitter.com/GoldDerby/statuses/1099444007145521152,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/uK0hQb5a6m"",""expanded_url"":""https://www.goldderby.com/article/2019/vice-oscars-sam-rockwell-amy-adams/"",""display_url"":""goldderby.com/article/2019/v…"",""indices"":[112,135]}],""media"":[{""id"":1099444005308457000,""id_str"":""1099444005308456960"",""indices"":[136,159],""media_url"":""http://pbs.twimg.com/media/D0ICf2rX4AAiwG4.jpg"",""media_url_https"":""https://pbs.twimg.com/media/D0ICf2rX4AAiwG4.jpg"",""url"":""https://t.co/78aSysoUP7"",""display_url"":""pic.twitter.com/78aSysoUP7"",""expanded_url"":""https://twitter.com/GoldDerby/status/1099444007145521152/photo/1"",""type"":""photo"",""sizes"":{""thumb"":{""w"":150,""h"":150,""resize"":""crop""},""medium"":{""w"":620,""h"":360,""resize"":""fit""},""small"":{""w"":620,""h"":360,""resize"":""fit""},""large"":{""w"":620,""h"":360,""resize"":""fit""}}}]}"
1099443912958271489,AcademyArtUNews,"Film Review: #VICE - Christian Bale, Amy Adams deliver solid performances as Dick and Lynne Cheney in Adam McKay’s comedic take on the former vice president’s political career | Read our review here: https://t.co/vA3gNH0buO #OscarWeekend #Oscars #ArtUNews #OurWorldYourWorld",Sat Feb 23 23:00:30 +0000 2019,23/02/2019 23:00:30,,en,,,1320991334,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",http://pbs.twimg.com/profile_images/555157687155957761/JUcnLVef_normal.jpeg,1110,380,San Francisco,http://twitter.com/AcademyArtUNews/statuses/1099443912958271489,"{""hashtags"":[{""text"":""VICE"",""indices"":[13,18]},{""text"":""OscarWeekend"",""indices"":[224,237]},{""text"":""Oscars"",""indices"":[238,245]},{""text"":""ArtUNews"",""indices"":[246,255]},{""text"":""OurWorldYourWorld"",""indices"":[256,274]}],""symbols"":[],""user_mentions"":[],""urls"":[{""url"":""https://t.co/vA3gNH0buO"",""expanded_url"":""http://ow.ly/6E2730nNZed"",""display_url"":""ow.ly/6E2730nNZed"",""indices"":[200,223]}]}"
